rodada,time_mandante,time_visitante
1,Internacional,EC Bahia
1,Criciúma EC,Juventude
1,Fluminense,RB Bragantino
1,São Paulo,Fortaleza
1,Atlético-GO,Flamengo
1,Vasco da Gama,Grêmio
1,Corinthians,Atlético-MG
1,Athletico-PR,Cuiabá-MT
1,Cruzeiro,Botafogo
1,EC Vitória,Palmeiras
2,EC Bahia,Fluminense
2,Grêmio,Athletico-PR
2,Atlético-MG,Criciúma EC
2,RB Bragantino,Vasco da Gama
2,Fortaleza,Cruzeiro
2,Juventude,Corinthians
2,Palmeiras,Internacional
2,Flamengo,São Paulo
2,Botafogo,Atlético-GO
2,Cuiabá-MT,EC Vitória
3,Fluminense,Vasco da Gama
3,Grêmio,Cuiabá-MT
3,RB Bragantino,Corinthians
3,Atlético-MG,Cruzeiro
3,EC Vitória,EC Bahia
3,Palmeiras,Flamengo
3,Athletico-PR,Internacional
3,Botafogo,Juventude
3,Atlético-GO,São Paulo
3,Criciúma EC,Fortaleza
4,Vasco da Gama,Criciúma EC
4,Cuiabá-MT,Atlético-MG
4,EC Bahia,Grêmio
4,Flamengo,Botafogo
4,Cruzeiro,EC Vitória
4,Corinthians,Fluminense
4,Fortaleza,RB Bragantino
4,Juventude,Athletico-PR
4,Internacional,Atlético-GO
4,São Paulo,Palmeiras
5,Fluminense,Atlético-MG
5,RB Bragantino,Flamengo
5,Corinthians,Fortaleza
5,EC Vitória,São Paulo
5,Athletico-PR,Vasco da Gama
5,Botafogo,EC Bahia
5,Cuiabá-MT,Palmeiras
5,Juventude,Atlético-GO
5,Cruzeiro,Internacional
5,Grêmio,Criciúma EC
6,Flamengo,Corinthians
6,Vasco da Gama,EC Vitória
6,Atlético-GO,Cruzeiro
6,Palmeiras,Athletico-PR
6,Fortaleza,Botafogo
6,EC Bahia,RB Bragantino
6,São Paulo,Fluminense
6,Criciúma EC,Cuiabá-MT
6,Atlético-MG,Grêmio
6,Internacional,Juventude
7,EC Vitória,Atlético-GO
7,Grêmio,RB Bragantino
7,Cuiabá-MT,Internacional
7,Fluminense,Juventude
7,Corinthians,Botafogo
7,Vasco da Gama,Flamengo
7,Criciúma EC,Palmeiras
7,Atlético-MG,EC Bahia
7,Fortaleza,Athletico-PR
7,São Paulo,Cruzeiro
8,Juventude,EC Vitória
8,Atlético-GO,Corinthians
8,Botafogo,Fluminense
8,RB Bragantino,Atlético-MG
8,Cruzeiro,Cuiabá-MT
8,Athletico-PR,Criciúma EC
8,Flamengo,Grêmio
8,Internacional,São Paulo
8,Palmeiras,Vasco da Gama
8,EC Bahia,Fortaleza
9,RB Bragantino,Juventude
9,Fluminense,Atlético-GO
9,EC Vitória,Internacional
9,Athletico-PR,Flamengo
9,Corinthians,São Paulo
9,Criciúma EC,EC Bahia
9,Grêmio,Botafogo
9,Vasco da Gama,Cruzeiro
9,Cuiabá-MT,Fortaleza
9,Atlético-MG,Palmeiras
10,Botafogo,Athletico-PR
10,Fortaleza,Grêmio
10,Atlético-GO,Criciúma EC
10,Juventude,Vasco da Gama
10,São Paulo,Cuiabá-MT
10,Internacional,Corinthians
10,Cruzeiro,Fluminense
10,EC Vitória,Atlético-MG
10,Flamengo,EC Bahia
10,Palmeiras,RB Bragantino
11,Criciúma EC,Botafogo
11,Cuiabá-MT,Atlético-GO
11,Vasco da Gama,São Paulo
11,Fluminense,Flamengo
11,Grêmio,Internacional
11,Athletico-PR,Corinthians
11,Palmeiras,Juventude
11,RB Bragantino,EC Vitória
11,Atlético-MG,Fortaleza
11,EC Bahia,Cruzeiro
12,Corinthians,Cuiabá-MT
12,Cruzeiro,Athletico-PR
12,Botafogo,RB Bragantino
12,Juventude,Flamengo
12,Atlético-GO,Grêmio
12,EC Bahia,Vasco da Gama
12,Internacional,Atlético-MG
12,Fortaleza,Palmeiras
12,Fluminense,EC Vitória
12,São Paulo,Criciúma EC
13,Cuiabá-MT,RB Bragantino
13,Vasco da Gama,Botafogo
13,Palmeiras,Corinthians
13,Atlético-MG,Atlético-GO
13,São Paulo,EC Bahia
13,Grêmio,Fluminense
13,Fortaleza,Juventude
13,EC Vitória,Athletico-PR
13,Flamengo,Cruzeiro
13,Criciúma EC,Internacional
14,RB Bragantino,Atlético-GO
14,Cuiabá-MT,Botafogo
14,Criciúma EC,Cruzeiro
14,Vasco da Gama,Fortaleza
14,Corinthians,EC Vitória
14,Athletico-PR,São Paulo
14,Atlético-MG,Flamengo
14,Grêmio,Palmeiras
14,EC Bahia,Juventude
14,Fluminense,Internacional
15,EC Vitória,Criciúma EC
15,Flamengo,Cuiabá-MT
15,São Paulo,RB Bragantino
15,Cruzeiro,Corinthians
15,Juventude,Grêmio
15,Palmeiras,EC Bahia
15,Botafogo,Atlético-MG
15,Fortaleza,Fluminense
15,Atlético-GO,Athletico-PR
15,Internacional,Vasco da Gama
16,Grêmio,Cruzeiro
16,Atlético-MG,São Paulo
16,EC Vitória,Botafogo
16,Flamengo,Fortaleza
16,Vasco da Gama,Corinthians
16,Palmeiras,Atlético-GO
16,RB Bragantino,Internacional
16,Athletico-PR,EC Bahia
16,Cuiabá-MT,Juventude
16,Criciúma EC,Fluminense
17,Internacional,Flamengo
17,Cruzeiro,RB Bragantino
17,EC Bahia,Cuiabá-MT
17,Fluminense,Athletico-PR
17,Botafogo,Palmeiras
17,Corinthians,Criciúma EC
17,São Paulo,Grêmio
17,Fortaleza,EC Vitória
17,Atlético-GO,Vasco da Gama
17,Juventude,Atlético-MG
18,Grêmio,EC Vitória
18,Atlético-MG,Vasco da Gama
18,EC Bahia,Corinthians
18,Flamengo,Criciúma EC
18,Botafogo,Internacional
18,Palmeiras,Cruzeiro
18,RB Bragantino,Athletico-PR
18,Fortaleza,Atlético-GO
18,Cuiabá-MT,Fluminense
18,Juventude,São Paulo
19,Internacional,Fortaleza
19,Cruzeiro,Juventude
19,EC Vitória,Flamengo
19,Fluminense,Palmeiras
19,Vasco da Gama,Cuiabá-MT
19,Corinthians,Grêmio
19,São Paulo,Botafogo
19,Athletico-PR,Atlético-MG
19,Atlético-GO,EC Bahia
19,Criciúma EC,RB Bragantino
20,Grêmio,Vasco da Gama
20,Atlético-MG,Corinthians
20,EC Bahia,Internacional
20,Flamengo,Atlético-GO
20,Botafogo,Cruzeiro
20,Palmeiras,EC Vitória
20,RB Bragantino,Fluminense
20,Fortaleza,São Paulo
20,Cuiabá-MT,Athletico-PR
20,Juventude,Criciúma EC
21,Internacional,Palmeiras
21,Cruzeiro,Fortaleza
21,EC Vitória,Cuiabá-MT
21,Fluminense,EC Bahia
21,Vasco da Gama,RB Bragantino
21,Corinthians,Juventude
21,São Paulo,Flamengo
21,Athletico-PR,Grêmio
21,Atlético-GO,Botafogo
21,Criciúma EC,Atlético-MG
22,Internacional,Athletico-PR
22,Cruzeiro,Atlético-MG
22,EC Bahia,EC Vitória
22,Flamengo,Palmeiras
22,Vasco da Gama,Fluminense
22,Corinthians,RB Bragantino
22,São Paulo,Atlético-GO
22,Fortaleza,Criciúma EC
22,Cuiabá-MT,Grêmio
22,Juventude,Botafogo
23,Grêmio,EC Bahia
23,Atlético-MG,Cuiabá-MT
23,EC Vitória,Cruzeiro
23,Fluminense,Corinthians
23,Botafogo,Flamengo
23,Palmeiras,São Paulo
23,RB Bragantino,Fortaleza
